cell,source,width,value
fl_mod,gtr2,8,-3.910
fl_mod,gtr2,9,-3.893
fl_mod,gtr2,10,-3.790
fl_mod,gtr2,11,-3.578
fl_mod,gtr2,12,-3.347
fl_mod,gtr2,13,-3.582
fl_mod,gtr2,14,-2.521
fl_mod,gtr2,15,-2.005
fl_mod,gtr2,16,-1.475
fl_mod,gtr2,17,-0.784
fl_mod,gtr2,18,-0.450
fl_mod,gtr2,19,-0.206
fl_mod,gtr2,20,-0.015
fl_mod,gtr2,21,0.090
fl_mod,gtr2,22,0.151
fl_mod,gtr2,23,0.177
fl_mod,gtr2,24,0.185
fl_mod,gtr4sg,8,-3.577
fl_mod,gtr4sg,9,-3.498
fl_mod,gtr4sg,10,-3.044
fl_mod,gtr4sg,11,-2.702
fl_mod,gtr4sg,12,-2.517
fl_mod,gtr4sg,13,-1.752
fl_mod,gtr4sg,14,-3.262
fl_mod,gtr4sg,15,-1.694
fl_mod,gtr4sg,16,-1.133
fl_mod,gtr4sg,17,-0.672
fl_mod,gtr4sg,18,-0.393
fl_mod,gtr4sg,19,-0.174
fl_mod,gtr4sg,20,0.034
fl_mod,gtr4sg,21,0.108
fl_mod,gtr4sg,22,0.160
fl_mod,gtr4sg,23,0.180
fl_mod,gtr4sg,24,0.186
fl_mod,prvtgtr,8,-3.883
fl_mod,prvtgtr,9,-3.789
fl_mod,prvtgtr,10,-3.421
fl_mod,prvtgtr,11,-2.838
fl_mod,prvtgtr,12,-2.494
fl_mod,prvtgtr,13,-1.795
fl_mod,prvtgtr,14,-2.440
fl_mod,prvtgtr,15,-1.290
fl_mod,prvtgtr,16,-0.885
fl_mod,prvtgtr,17,-0.648
fl_mod,prvtgtr,18,-0.509
fl_mod,prvtgtr,19,-0.315
fl_mod,prvtgtr,20,-0.177
fl_mod,prvtgtr,21,0.049
fl_mod,prvtgtr,22,0.097
fl_mod,prvtgtr,23,0.114
fl_mod,prvtgtr,24,0.117
