sample,dry_input,golden_fp32_output
335,-0.0326315463,-0.135992497
336,-4.28626385e-16,-0.133557618
337,0.0326315463,-0.0880545005
338,0.0647047609,0.00481152534
339,0.0956708565,0.0484386086
340,0.125,0.0827433914
341,0.152190357,0.10391213
342,0.176776692,0.116787508
343,0.19833833,0.125317514
344,0.216506347,0.131568342
345,0.230969876,0.135857761
346,0.241481453,0.138916016
347,0.247861221,0.141128078
348,0.25,0.142725319
349,0.247861221,0.143911108
350,0.241481453,0.144782037
351,0.230969876,0.145450532
352,0.216506347,0.145956889
353,0.19833833,0.146267295
354,0.176776692,0.146296814
355,0.152190357,0.146114379
356,0.125,0.146033421
357,0.0956708565,0.14624089
358,0.0647047609,0.146500766
359,0.0326315463,0.145751625
360,1.34742094e-15,0.136357278
361,-0.0326315463,0.0721128583
362,-0.0647047609,0.000439226627
363,-0.0956708565,-0.0539575368
364,-0.125,-0.0806199461
365,-0.152190357,-0.10020107
366,-0.176776692,-0.110831894
367,-0.19833833,-0.121095926
368,-0.216506347,-0.129476175
369,-0.230969876,-0.133084953
370,-0.241481453,-0.135704368
371,-0.247861221,-0.137488782
372,-0.25,-0.138207182
373,-0.247861221,-0.138391718
374,-0.241481453,-0.138311028
375,-0.230969876,-0.138149545
376,-0.216506347,-0.13802968
377,-0.19833833,-0.137961686
378,-0.176776692,-0.137908205
379,-0.152190357,-0.137821972
380,-0.125,-0.137638092
381,-0.0956708565,-0.137320727
382,-0.0647047609,-0.136969075
383,-0.0326315463,-0.136657178
384,-4.89858741e-16,-0.134248704
385,0.0326315463,-0.0893423036
386,0.0647047609,0.00423817337
387,0.0956708565,0.047637105
388,0.125,0.082006067
389,0.152190357,0.103163227
390,0.176776692,0.11605373
391,0.19833833,0.12460126
392,0.216506347,0.130866408
393,0.230969876,0.135168299
394,0.241481453,0.138236046
395,0.247861221,0.1404569
396,0.25,0.142061606
397,0.247861221,0.143254042
398,0.241481453,0.144130662
399,0.230969876,0.144803286
400,0.216506347,0.145312548
401,0.19833833,0.145625204
402,0.176776692,0.145658553
403,0.152190357,0.145485058
404,0.125,0.145418987
405,0.0956708565,0.14564316
406,0.0647047609,0.145917222
407,0.0326315463,0.145172313
408,-3.6770354e-16,0.135699853
409,-0.0326315463,0.071110636
410,-0.0647047609,-0.000416330993
411,-0.0956708565,-0.0546585396
412,-0.125,-0.0812588483
413,-0.152190357,-0.100809902
414,-0.176776692,-0.111404628
415,-0.19833833,-0.12167345
416,-0.216506347,-0.130060062
417,-0.230969876,-0.133664489
418,-0.241481453,-0.13628985
419,-0.247861221,-0.138081014
420,-0.25,-0.138802588
421,-0.247861221,-0.138989687
422,-0.241481453,-0.138910428
423,-0.230969876,-0.138749674
424,-0.216506347,-0.138630629
425,-0.19833833,-0.138563663
426,-0.176776692,-0.138511479
427,-0.152190357,-0.138426751
428,-0.125,-0.138244569
429,-0.0956708565,-0.137929201
430,-0.0647047609,-0.137579769
431,-0.0326315463,-0.13727048
432,-2.32744791e-15,-0.134891629
433,0.0326315463,-0.0906205028
434,0.0647047609,0.00370062888
435,0.0956708565,0.0468711853
436,0.125,0.0813131779
437,0.152190357,0.102461621
438,0.176776692,0.115369707
439,0.19833833,0.123935267
440,0.216506347,0.130214646
441,0.230969876,0.134529531
442,0.241481453,0.1376068
443,0.247861221,0.139836594
444,0.25,0.141449034
445,0.247861221,0.14264828
446,0.241481453,0.143530577
447,0.230969876,0.144207507
448,0.216506347,0.14471963
449,0.19833833,0.145034298
450,0.176776692,0.145071357
451,0.152190357,0.144906715
452,0.125,0.144854963
453,0.0956708565,0.145094752
454,0.0647047609,0.145381749
455,0.0326315463,0.144638896
456,1.4698856e-15,0.135081798
457,-0.0326315463,0.0701120794
458,-0.0647047609,-0.00124637783
459,-0.0956708565,-0.0553213842
460,-0.125,-0.0818562061
461,-0.152190357,-0.10137441
462,-0.176776692,-0.111930907
463,-0.19833833,-0.122205406
464,-0.216506347,-0.130597949
465,-0.230969876,-0.134197026
466,-0.241481453,-0.13682887
467,-0.247861221,-0.138626814
468,-0.25,-0.139351279
469,-0.247861221,-0.139541
470,-0.241481453,-0.139463082
471,-0.230969876,-0.139302999
472,-0.216506347,-0.139184669
473,-0.19833833,-0.139118567
474,-0.176776692,-0.139067575
475,-0.152190357,-0.138984337
476,-0.125,-0.13880384
477,-0.0956708565,-0.13849026
478,-0.0647047609,-0.138142586
479,-0.0326315463,-0.137835547
480,-6.123234e-16,-0.135488898
481,0.0326315463,-0.0918865651
482,0.0647047609,0.00319606066
483,0.0956708565,0.0461386591
484,0.125,0.0806622803
485,0.152190357,0.101804554
486,0.176776692,0.114732742
487,0.19833833,0.123316661
488,0.216506347,0.129610091
489,0.230969876,0.133938476
490,0.241481453,0.137025446
491,0.247861221,0.13926436
492,0.25,0.140884563
493,0.247861221,0.142090663
494,0.241481453,0.142978877
495,0.230969876,0.143660009
496,0.216506347,0.144175053
497,0.19833833,0.144491702
